# SRS_LLR | gpio.c | Generated: 2026-04-29
# Source file: gpio.c
#
# COLUMNS: RecordType | FunctionName | Text | isReq
#   FUNC_HEADING | name | heading text        | false
#   FUNC_REQ     | name | requirement text    | true
#   FUNC_PARAM   | name | parameter req text  | true
#   FUNC_RETURN  | name | return req text     | true
#   ASM_HEADING  | name | heading text        | false
#   ASM_REQ      | name | asm req text        | true
#   DATA_HEADING | name | heading text        | false
#   DATA_REQ     | name | data req text       | true
#
FUNC_HEADING|GPIO_SetMode|Change the operating mode of an already-initialised pin at runtime. Only the MODER field is updated; pull, speed, and AF settings are preserved.|false
FUNC_REQ|GPIO_SetMode|The GPIO_SetMode() function shall change the operating mode of an already-initialised pin at runtime. Only the MODER field is updated; pull, speed, and AF settings are preserved.|true
FUNC_RETURN|GPIO_SetMode|The GPIO_SetMode() function shall return GPIO_OK on success..|true
FUNC_HEADING|GPIO_RegisterIRQ|Register a callback for a GPIO pin interrupt. The pin must already be configured with a GPIO_MODE_IT_* mode. Re-registering the same port+pin replaces the existing callback.|false
FUNC_REQ|GPIO_RegisterIRQ|The GPIO_RegisterIRQ() function shall register a callback for a GPIO pin interrupt. The pin must already be configured with a GPIO_MODE_IT_* mode. Re-registering the same port+pin replaces the existing callback.|true
FUNC_RETURN|GPIO_RegisterIRQ|The GPIO_RegisterIRQ() function shall return GPIO_OK on success..|true
FUNC_HEADING|GPIO_UnregisterIRQ|Unregister a previously registered interrupt callback. Removes the entry from the callback table by swapping with the last entry. If no entry matches, the function succeeds silently.|false
FUNC_REQ|GPIO_UnregisterIRQ|The GPIO_UnregisterIRQ() function shall unregister a previously registered interrupt callback. Removes the entry from the callback table by swapping with the last entry. If no entry matches, the function succeeds silently.|true
FUNC_RETURN|GPIO_UnregisterIRQ|The GPIO_UnregisterIRQ() function shall return GPIO_OK always (no error if not found)..|true
FUNC_HEADING|GPIO_SetIRQEnabled|Enable or disable the EXTI interrupt line for a configured pin.|false
FUNC_REQ|GPIO_SetIRQEnabled|The GPIO_SetIRQEnabled() function shall enable or disable the EXTI interrupt line for a configured pin.|true
FUNC_RETURN|GPIO_SetIRQEnabled|The GPIO_SetIRQEnabled() function shall return GPIO_OK on success..|true
FUNC_HEADING|GPIO_EXTI_IRQHandler|EXTI ISR dispatcher called by the MCU vector handlers. Applies millisecond debounce filtering, samples the pin, and dispatches to any registered callback. Clears the EXTI pending bit before returning.|false
FUNC_REQ|GPIO_EXTI_IRQHandler|The GPIO_EXTI_IRQHandler() function shall eXTI ISR dispatcher called by the MCU vector handlers. Applies millisecond debounce filtering, samples the pin, and dispatches to any registered callback. Clears the EXTI pending bit before returning.|true
